Activo,gamma_CRRA,vol_hist,precio_promedio
TRM,0.3134319439495911,0.9241708815077012,369350.9321291735
TPM,,0.014707237145811286,8.275328587075576
IBR,,0.01748139676369559,7.760089198036006
DTB3,,0.1272023120504607,3.0922400000000003
Datos históricos de Organizacion Terpel SA (TPL),0.010000522596677608,0.019170514679060634,9314.471931493816
Datos históricos de Celsia (CEL),0.010000385336395743,0.017759265344069873,3784.5427385892117
Datos históricos de Nutresa (NCH),0.010000531579924352,0.03333826723018819,58279.878618113915
Datos históricos de Cemargos (CCB),0.010000467774858869,0.021862532672985695,6367.700903861955
Datos históricos de Grupo Argos (ARG),0.010000561685705645,0.024054147742479822,13847.329401853412
Datos históricos de Bancolombia Pf (BIC_p1),0.010000555948207928,0.01761490063544508,33812.37427864798
Datos históricos de Ecopetrol (EC),0.01000063197812306,0.022540564735509822,2319.1959016393444
Datos históricos de Interconnection Electric (ISA),0.010000589129858753,0.022752541907234813,19825.96390484003
Datos históricos de Suramericana (SIS),0.010000551275506664,0.028825765407905258,33753.9092495637
Datos históricos de Grupo Energia Bogota (GEB),0.01000063385828554,0.01863388939898468,2342.3584171475677
